ts,attempt,status,elapsed_ms,error
2026-09-14T22:06:53.231+00:00,136,OK,5.6,
2026-09-14T22:06:53.736+00:00,137,OK,4.5,
2026-09-14T22:06:54.245+00:00,138,OK,8.3,
2026-09-14T22:06:54.757+00:00,139,OK,11.9,
2026-09-14T22:06:55.265+00:00,140,OK,7.2,
2026-09-14T22:06:55.772+00:00,141,OK,6.7,
2026-09-14T22:06:56.281+00:00,142,OK,8.8,
2026-09-14T22:06:56.791+00:00,143,OK,9.9,
2026-09-14T22:06:57.297+00:00,144,OK,4.9,
2026-09-14T22:06:57.804+00:00,145,OK,7.3,
2026-09-14T22:06:58.309+00:00,146,OK,4.2,
2026-09-14T22:06:58.813+00:00,147,OK,4.2,
2026-09-14T22:06:59.323+00:00,148,OK,9.3,
2026-09-14T22:06:59.834+00:00,149,OK,10.6,
2026-09-14T22:07:00.339+00:00,150,OK,5.3,
2026-09-14T22:07:00.850+00:00,151,OK,10.3,
2026-09-14T22:07:01.358+00:00,152,OK,7.5,
2026-09-14T22:07:01.861+00:00,153,OK,2.9,
2026-09-14T22:07:02.365+00:00,154,OK,3.9,
2026-09-14T22:07:02.877+00:00,155,OK,11.4,
2026-09-14T22:07:03.381+00:00,156,OK,4.7,
2026-09-14T22:07:03.886+00:00,157,OK,4.0,
2026-09-14T22:07:04.389+00:00,158,OK,3.6,
2026-09-14T22:07:04.897+00:00,159,OK,7.3,
2026-09-14T22:07:05.402+00:00,160,OK,4.7,
2026-09-14T22:07:05.907+00:00,161,OK,4.7,
2026-09-14T22:07:06.411+00:00,162,OK,4.1,
2026-09-14T22:07:06.916+00:00,163,OK,4.7,
2026-09-14T22:07:07.422+00:00,164,OK,5.5,
2026-09-14T22:07:07.926+00:00,165,OK,3.6,
2026-09-14T22:07:08.430+00:00,166,OK,4.1,
2026-09-14T22:07:08.937+00:00,167,OK,7.0,
2026-09-14T22:07:09.443+00:00,168,OK,5.2,
2026-09-14T22:07:09.949+00:00,169,OK,5.9,
2026-09-14T22:07:10.461+00:00,170,OK,12.0,
2026-09-14T22:07:10.965+00:00,171,OK,3.3,
2026-09-14T22:07:11.468+00:00,172,OK,3.6,
2026-09-14T22:07:11.972+00:00,173,OK,3.7,
2026-09-14T22:07:12.476+00:00,174,OK,4.0,
2026-09-14T22:07:12.979+00:00,175,OK,4.3,
2026-09-14T22:07:13.482+00:00,176,OK,3.4,
2026-09-14T22:07:13.987+00:00,177,OK,4.8,
2026-09-14T22:07:14.493+00:00,178,OK,5.5,
2026-09-14T22:07:14.998+00:00,179,OK,4.9,
2026-09-14T22:07:15.505+00:00,180,OK,6.4,
2026-09-14T22:07:16.012+00:00,181,OK,6.5,
2026-09-14T22:07:16.523+00:00,182,OK,10.9,
2026-09-14T22:07:17.029+00:00,183,OK,5.3,
2026-09-14T22:07:17.541+00:00,184,OK,11.7,
2026-09-14T22:07:18.053+00:00,185,OK,12.0,
2026-09-14T22:07:18.567+00:00,186,OK,13.1,
2026-09-14T22:07:19.075+00:00,187,OK,7.8,
2026-09-14T22:07:19.580+00:00,188,OK,4.5,
2026-09-14T22:07:20.084+00:00,189,OK,4.0,
2026-09-14T22:07:20.593+00:00,190,OK,9.1,
2026-09-14T22:07:21.100+00:00,191,OK,6.6,
2026-09-14T22:07:21.606+00:00,192,OK,5.8,
2026-09-14T22:07:22.111+00:00,193,OK,4.4,
2026-09-14T22:07:22.617+00:00,194,OK,5.7,
2026-09-14T22:07:23.123+00:00,195,OK,6.0,
2026-09-14T22:07:23.629+00:00,196,OK,5.2,
2026-09-14T22:07:24.133+00:00,197,OK,4.5,
2026-09-14T22:07:24.637+00:00,198,OK,3.6,
2026-09-14T22:07:25.143+00:00,199,OK,5.3,
2026-09-14T22:07:25.646+00:00,200,OK,3.3,
2026-09-14T22:07:26.154+00:00,201,OK,7.0,
2026-09-14T22:07:26.662+00:00,202,OK,8.5,
2026-09-14T22:07:27.166+00:00,203,OK,3.1,
2026-09-14T22:07:27.670+00:00,204,OK,3.7,
2026-09-14T22:07:28.174+00:00,205,OK,4.4,
2026-09-14T22:07:28.678+00:00,206,OK,3.7,
2026-09-14T22:07:29.187+00:00,207,OK,8.7,
2026-09-14T22:07:29.693+00:00,208,OK,5.2,
2026-09-14T22:07:30.196+00:00,209,OK,3.6,
2026-09-14T22:07:30.702+00:00,210,OK,5.0,
2026-09-14T22:07:31.206+00:00,211,OK,3.9,
2026-09-14T22:07:31.710+00:00,212,OK,3.8,
2026-09-14T22:07:32.216+00:00,213,OK,5.2,
2026-09-14T22:07:32.722+00:00,214,OK,5.8,
2026-09-14T22:07:33.226+00:00,215,OK,4.6,
2026-09-14T22:07:33.730+00:00,216,OK,3.6,
2026-09-14T22:07:34.234+00:00,217,OK,3.8,
